issue_id,award_id,userid,issue_reason,issue_time
7831,259,59896,"Completed the:

Assault Rifle, Carbine, LMG, Sidearm, Scout Rifle, Shotgun, Sidearm, Sniper Rifle, and Submachine Gun master directives on TR.

Assault Rifle, Carbine, LMG, and Sniper Rifle master directives on NC.

LMG and Sniper Rifle master directives on VS.",1643753040
7832,259,60411,Completed the LMG and Assault Rifle master directives.,1643757480
7833,259,78756,Completed the LMG and Submachine Gun master directives.,1643761920
7834,98,50789,"",1643764419
7835,99,50789,"",1643764463
7836,259,78215,Completed the LMG and Carbine master directives.,1643767980
7838,102,75265,HEAVY METASL MANIAC: UNLOCKED!,1643771747
7839,98,36609,PTFO MASTER:UNLOCKED!,1643771783
7840,259,77199,Completed the Submachine Gun master directive.,1643779020
7841,248,46317,Congrats on your Refining Achievement!,1643809501
7842,251,46317,Congratulations on your Weapons Mastery Achievement!,1643809551
7843,258,40630,You are gilded! (and thanks for making the design!),1643817513
7844,258,47708,You are gilded!,1643818165
7846,258,71753,You Are Gilded,1643818200
7847,211,47708,did all 7 raids in a day,1643818387
7848,212,47708,Got carried to Flawless,1643818416
7854,258,57833,You are Gilded!,1643864752
7863,104,71753,For leading so many raids and dungeons during Season of the Lost!,1643929409
7864,100,60442,Master-At-Arms COMPLETION!,1643933644
7865,101,60442,Super Soldier : COMPLETION!,1643933680
7866,99,60442,Gear Gremlin : COMPLETED,1643933710
7867,98,60442,PTFO MASTER: UNLOCKED!,1643933799
7872,98,55018,PTFO MASTER: UNLOCKED!,1643934114
7886,99,54478,Gear Gremlin,1644181998
7887,98,54478,PTFO MASTER!,1644182032
7888,101,54478,Super Soldier!,1644182068
7889,100,54478,Master At Arms,1644182103
7890,259,80293,Completed the Carbine master directive.,1644205440
7891,5,74148,Achieved battle rank 120,1644372409
7895,180,35543,Reached lvl 100,1644685711
7897,251,61918,Congratulations an your Achievement,1644715504
7898,248,61918,Congratulations on your Achievement,1644715562
7899,18,36707,5 years of service.,1644722621
7900,68,36707,WarBoss with Commander Helmet,1644722658
7901,5,36707,Enrolled in the Advanced Specialization Program.,1644722840
7904,259,34810,Completed the Assault Rifle master directive.,1644895800
7907,259,27590,Completed the Carbine master directive.,1644900480
7908,18,50265,5 years with AOD!,1644979023
7911,248,3469,Congrats on your Achievement!!!,1645047605
7917,249,46317,Achieving 200 in all gathering trades. Even fishing! Holy shit!,1645410744
7919,259,73252,Completed the Sniper Rifle master directive.,1645414620
7921,258,62068,You are Gilded!,1645467868
7923,249,53683,"For fishing for 4 freaking days straight! Such perseverance! Such discipline! Here, take a badge, you crazy person!",1645577681
7925,98,67455,PTFO MASTER!!,1646196304
7932,41,36707,Retired member of Reapers,1646578320
7933,180,83891,Reached lvl 100,1646754131
